model_name,severity_group,n,accuracy,mean_p_ad,false_positive,false_negative
middle_late__svc__rbf,control,36,0.6666666666666666,0.39888138223701686,12,0
middle_late__svc__rbf,early,6,0.8333333333333334,0.7205439749944218,0,1
middle_late__svc__rbf,late,7,1.0,0.9171798265767411,0,0
middle_late__svc__rbf,middle,14,0.8571428571428571,0.7657194544378324,0,2
middle_late__svc__sigmoid,AD_high_MMSE,8,0.875,0.8057424137090626,0,1
middle_late__svc__sigmoid,control,36,0.5277777777777778,0.47618538302942093,17,0
middle_late__svc__sigmoid,early,6,0.8333333333333334,0.8048399872167115,0,1
middle_late__svc__sigmoid,late,7,0.8571428571428571,0.8882787725825594,0,1
middle_late__svc__sigmoid,middle,14,0.8571428571428571,0.7421553858057143,0,2
middle_late_scale__lr__elasticnet,AD_high_MMSE,8,0.75,0.7547189226770508,0,2
middle_late_scale__lr__elasticnet,control,36,0.5833333333333334,0.4080137547463364,15,0
middle_late_scale__lr__elasticnet,early,6,0.8333333333333334,0.8056106857005325,0,1
